Country,Name,Percentage
KWT,Muslim,85.0
SA,Muslim,100.0
SYR,Muslim,90.0
SYR,Christian,10.0
RL,Christian,30.0
RL,Muslim,70.0
WEST,Muslim,75.0
WEST,Jewish,17.0
WEST,Christian,8.0
J,Buddhist,84.0
ROK,Buddhist,47.4
ROK,Christian,48.6
ROK,Confucianism,3.0
ROK,Chondogyo,0.2
MV,Muslim,100.0
OM,Muslim,75.0
UAE,Muslim,96.0
RP,Muslim,5.0
RP,Roman Catholic,83.0
RP,Protestant,9.0
RP,Buddhist,3.0
Q,Muslim,95.0
CL,Muslim,8.0
CL,Christian,8.0
CL,Buddhist,69.0
CL,Hindu,15.0
RC,Christian,4.5
RC,Taoist,93.0
AXA,Roman Catholic,5.7
AXA,Protestant,30.2
AXA,Anglican,29.0
AXA,Methodist,23.9
ARU,Roman Catholic,80.8
ARU,Protestant,9.0
BS,Roman Catholic,19.0
BS,Protestant,12.0
BS,Anglican,20.0
BS,Baptist,32.0
BS,Methodist,6.0
BS,Church of God,6.0
BDS,Roman Catholic,4.0
BDS,Protestant,67.0
BZ,Roman Catholic,62.0
BZ,Protestant,30.0
MEX,Roman Catholic,89.0
MEX,Protestant,6.0
BERM,Roman Catholic,15.0
BERM,Anglican,23.0
BERM,Seventh-Day Adventist,5.0
BERM,Protestant,18.0
BERM,African Methodist Episcopal,11.0
BVIR,Roman Catholic,10.0
BVIR,Protestant,86.0
CDN,Roman Catholic,45.0
CDN,Anglican,8.0
CDN,United Church,12.0
USA,Jewish,2.0
USA,Roman Catholic,28.0
USA,Protestant,56.0
CAYM,Roman Catholic,11.0
CAYM,Anglican,5.7
CAYM,Church of God,26.0
CAYM,United Church,11.8
CR,Roman Catholic,95.0
NIC,Roman Catholic,95.0
NIC,Protestant,5.0
PA,Roman Catholic,85.0
PA,Protestant,15.0
C,Roman Catholic,85.0
WD,Roman Catholic,77.0
WD,Protestant,15.0
DOM,Roman Catholic,95.0
RH,Roman Catholic,80.0
RH,Protestant,16.0
ES,Roman Catholic,75.0
HCA,Roman Catholic,97.0
GROX,Protestant,100.0
GUAD,Roman Catholic,95.0
GUAD,Protestant,1.0
GUAD,Hindu,4.0
JA,Roman Catholic,5.0
JA,Protestant,55.9
MART,Roman Catholic,95.0
MART,Hindu,5.0
CO,Roman Catholic,95.0
PR,Roman Catholic,85.0
PR,Protestant,15.0
WL,Roman Catholic,90.0
WL,Protestant,7.0
WL,Anglican,3.0
SPMI,Roman Catholic,99.0
TT,Muslim,6.0
TT,Roman Catholic,32.2
TT,Protestant,14.0
TT,Anglican,14.4
TT,Hindu,24.3
TUCA,Anglican,18.0
TUCA,Baptist,40.0
TUCA,Church of God,12.0
TUCA,Methodist,16.0
VIRG,Roman Catholic,34.0
VIRG,Baptist,42.0
VIRG,Episcopalian,17.0
AMSA,Roman Catholic,20.0
AMSA,Protestant,30.0
AMSA,Christian Congregationalist,50.0
AUS,Roman Catholic,26.0
AUS,Anglican,26.1
AUS,Christian,24.3
COOK,Christian,100.0
FJI,Muslim,8.0
FJI,Christian,52.0
FJI,Hindu,38.0
FPOL,Roman Catholic,30.0
FPOL,Protestant,54.0
GUAM,Roman Catholic,95.0
KIR,Roman Catholic,52.6
KIR,Protestant,40.9
KIR,Mormon,6.0
MH,Christian,100.0
FSM,Roman Catholic,50.0
FSM,Protestant,47.0
NAU,Christian,100.0
NCA,Roman Catholic,60.0
NCA,Protestant,30.0
NZ,Roman Catholic,15.0
NZ,Protestant,3.0
NZ,Anglican,24.0
NZ,Baptist,2.0
NZ,Methodist,5.0
NZ,Presbyterian,18.0
NIUE,Mormon,10.0
NIUE,Ekalesia Niue,61.0
NIUE,Roman Catholic,7.2
NORF,Roman Catholic,11.7
NORF,Anglican,39.0
NORF,Seventh-Day Adventist,4.4
NORF,Uniting Church Australia,16.4
PITC,Seventh-Day Adventist,100.0
SLB,Roman Catholic,19.0
SLB,Protestant,5.0
SLB,Anglican,34.0
SLB,Baptist,17.0
SLB,Seventh-Day Adventist,10.0
SLB,United,11.0
TO,Christian,100.0
TUV,Bahai,1.0
TUV,Seventh-Day Adventist,1.4
TUV,Church Tuvalu,97.0
VU,Roman Catholic,15.0
VU,Anglican,15.0
VU,Seventh-Day Adventist,6.2
VU,Presbyterian,36.7
VU,Church Christ,3.8
WAFU,Roman Catholic,99.0
WS,Christian,99.7
RA,Jewish,2.0
RA,Roman Catholic,90.0
RA,Protestant,2.0
BOL,Roman Catholic,95.0
BR,Roman Catholic,70.0
RCH,Roman Catholic,89.0
RCH,Protestant,11.0
PY,Roman Catholic,90.0
ROU,Jewish,2.0
ROU,Roman Catholic,66.0
ROU,Protestant,2.0
PE,Roman Catholic,100.0
FGU,Roman Catholic,100.0
GUY,Muslim,9.0
GUY,Christian,57.0
GUY,Hindu,33.0
SME,Muslim,19.6
SME,Roman Catholic,22.8
SME,Protestant,25.2
SME,Hindu,27.4
YV,Roman Catholic,96.0
YV,Protestant,2.0
EC,Roman Catholic,95.0
DZ,Muslim,99.0
DZ,Christian,0.5
DZ,Jewish,0.5
LAR,Muslim,97.0
RMM,Muslim,90.0
RMM,Christian,1.0
RIM,Muslim,100.0
MA,Muslim,98.7
MA,Jewish,0.2
MA,Christian,1.1
RN,Muslim,80.0
TN,Muslim,98.0
TN,Jewish,1.0
TN,Christian,1.0
WSA,Muslim,100.0
ANG,Roman Catholic,38.0
ANG,Protestant,15.0
RCB,Muslim,2.0
RCB,Christian,50.0
NAM,Protestant,50.0
ZRE,Muslim,10.0
ZRE,Roman Catholic,50.0
ZRE,Protestant,20.0
ZRE,Kimbanguist,10.0
Z,Christian,60.0
Z,Muslim,1.0
BEN,Muslim,15.0
BEN,Christian,15.0
BF,Muslim,50.0
BF,Christian,10.0
WAN,Muslim,50.0
WAN,Christian,40.0
RT,Muslim,10.0
RT,Christian,20.0
RB,Christian,50.0
RSA,Muslim,2.0
ZW,Muslim,1.0
ZW,Christian,25.0
CI,Muslim,60.0
CI,Christian,12.0
GH,Muslim,30.0
GH,Christian,24.0
BI,Muslim,1.0
BI,Christian,67.0
RWA,Muslim,1.0
RWA,Roman Catholic,65.0
RWA,Protestant,9.0
CAM,Muslim,16.0
CAM,Christian,33.0
RCA,Muslim,15.0
RCA,Roman Catholic,25.0
RCA,Protestant,25.0
TCH,Muslim,50.0
TCH,Christian,25.0
GQ,Roman Catholic,100.0
G,Muslim,1.0
G,Christian,55.0
CV,Roman Catholic,100.0
SUD,Muslim,70.0
SUD,Christian,5.0
COM,Roman Catholic,14.0
COM,Muslim,86.0
RG,Muslim,85.0
RG,Christian,8.0
LB,Muslim,20.0
LB,Christian,10.0
DJI,Muslim,94.0
DJI,Christian,6.0
ETH,Muslim,45.0
ETH,Christian Orthodox,35.0
SP,Muslim,100.0
EAK,Roman Catholic,28.0
EAK,Protestant,38.0
WAG,Muslim,90.0
WAG,Christian,9.0
SN,Muslim,92.0
SN,Christian,2.0
GNB,Muslim,30.0
GNB,Christian,5.0
WAL,Muslim,60.0
WAL,Christian,10.0
EAU,Muslim,16.0
EAU,Roman Catholic,33.0
EAU,Protestant,33.0
LS,Christian,80.0
RM,Muslim,7.0
RM,Christian,41.0
MW,Muslim,20.0
MW,Roman Catholic,20.0
MW,Protestant,55.0
MOC,Muslim,20.0
MOC,Christian,30.0
MS,Muslim,16.6
MS,Christian,28.3
MS,Hindu,52.0
MAYO,Muslim,97.0
SD,Christian,60.0
REUN,Roman Catholic,94.0
SY,Roman Catholic,90.0
SY,Anglican,8.0
